Cust_Id,American Beauty,The Wedding Planner,Pirates of the Caribbean: The Curse of the Black Pearl,50 First Dates,What Women Want,The Bourne Supremacy,Lord of the Rings: The Fellowship of the Ring,Braveheart,Ghost,Men in Black II,The Last Samurai,Bruce Almighty,Shrek 2,Finding Nemo (Widescreen),The Sixth Sense,The Italian Job,Beijing Bicycle,Pearl Harbor,Pulp Fiction,Forrest Gump,Lord of the Rings: The Two Towers,Swordfish,Spider-Man 2,Lost in Translation,The Rock,Twister,Mystic River,John Q,Double Jeopardy,Men in Black,Two Weeks Notice,Troy,Gladiator,The Patriot,Lethal Weapon 4,Kill Bill: Vol. 1,How to Lose a Guy in 10 Days,The Shawshank Redemption: Special Edition,The Matrix,Ocean's Eleven,Independence Day,The Day After Tomorrow,Sweet Home Alabama,Con Air,The Green Mile,The Fugitive,Titanic,Indiana Jones and the Last Crusade,National Treasure,The Terminal
322009,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,,4.0,4.0,3.2829131652661063,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
325073,3.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,3.0192572214580466,3.0,4.0,4.0,5.0,3.0,5.0,,3.0,3.0,,3.0,,4.0,,4.0,4.0,3.0,3.0,4.0,,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,
326356,5.0,,3.0,,1.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,2.8253968253968256,1.0,5.0,3.0,4.0,1.0,5.0,5.0,2.0,,3.0,,1.0,4.0,1.0,2.0,3.0,2.0,,5.0,1.0,4.0,4.0,4.0,,1.0,3.0,,3.0,4.0,3.0,4.0,,2.0
327122,5.0,3.0,,4.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,3.5527065527065527,3.0,5.0,5.0,5.0,,5.0,5.0,4.0,3.0,4.0,,3.0,3.0,,3.0,5.0,2.0,4.0,3.0,,4.0,5.0,4.0,5.0,3.0,,4.0,4.0,4.0,3.0,4.0,2.0,
329958,,,,4.0,,,5.0,5.0,3.0,1.0,1.0,1.0,1.0,,5.0,,2.4323995127892815,,5.0,,5.0,1.0,,3.0,3.0,,5.0,,1.0,5.0,,,5.0,1.0,,3.0,1.0,5.0,5.0,3.0,,,3.0,,5.0,5.0,,5.0,,1.0
332698,5.0,2.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,,4.0,5.0,5.0,5.0,3.4021592442645074,3.0,2.0,4.0,5.0,3.0,5.0,3.0,2.0,3.0,5.0,,2.0,4.0,3.0,3.0,4.0,,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0
340479,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,2.5355704697986576,4.0,1.0,5.0,5.0,5.0,5.0,,5.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0
341649,5.0,3.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,,3.0,5.0,,2.4031465093411994,2.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,
349572,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,3.138655462184874,2.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,,2.0,4.0,5.0,2.0,4.0,5.0,4.0,2.0,,1.0,4.0,1.0,4.0,4.0,,1.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0
356615,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,,,,5.0,5.0,5.0,2.604054054054054,,,5.0,5.0,4.0,,3.0,5.0,5.0,4.0,,5.0,5.0,5.0,,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,3.0,5.0,5.0
361886,4.0,3.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,2.8893805309734515,3.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0
364749,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,3.425561797752809,3.0,4.0,4.0,5.0,,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0
380505,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.452054794520548,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0
383451,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0,3.201884253028264,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,
386947,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.119182746878547,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0
387418,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.8029386343993086,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0
394895,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
397212,5.0,1.0,5.0,,,,5.0,3.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,2.0,3.17279046673287,2.0,4.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,,2.0,3.0,,,3.0,2.0,2.0,5.0,1.0,4.0,3.0,3.0,2.0,,1.0,1.0,4.0,3.0,1.0,4.0,,
399971,5.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,3.611832611832612,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,,4.0
400440,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,3.282967032967033,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,
402266,5.0,2.0,5.0,5.0,3.0,,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.4510978043912175,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,,5.0
407037,4.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,2.994550408719346,4.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,2.0,3.0,,5.0,2.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0
408457,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.643631436314363,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
411290,5.0,1.0,4.0,,3.0,,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.7225877192982457,2.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,,3.0,3.0,4.0,,,5.0,2.0,3.0,5.0,,5.0,5.0,4.0,3.0,,,3.0,5.0,4.0,4.0,5.0,,
411705,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.7691401648998824,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,,4.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0
414536,5.0,1.0,2.0,2.0,1.0,3.0,,3.0,2.0,1.0,2.0,3.0,,,4.0,2.0,2.6514745308310994,2.0,4.0,3.0,,2.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,,2.0,2.0,3.0,3.0,3.0,,
428688,5.0,3.0,5.0,,3.0,5.0,5.0,4.0,4.0,4.0,3.0,,4.0,4.0,5.0,5.0,2.8905109489051095,3.0,3.0,3.0,5.0,5.0,3.0,3.0,,3.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,4.0,,2.0
429260,1.0,2.0,4.0,2.0,2.0,1.0,5.0,,3.0,2.0,,2.0,3.0,2.0,3.0,4.0,2.2452316076294276,,2.0,5.0,2.0,2.0,,1.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,,4.0,5.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0
438340,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.3035935563816605,1.0,4.0,4.0,5.0,4.0,5.0,,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0
447759,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9423076923076925,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
452667,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0369276218611523,4.0,1.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0
461075,3.0,3.0,2.0,5.0,3.0,5.0,1.0,5.0,,5.0,5.0,2.0,,1.0,1.0,5.0,2.2983490566037736,4.0,3.0,,1.0,5.0,,1.0,5.0,4.0,1.0,3.0,4.0,,4.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,
462171,,,5.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,2.811141304347826,,3.0,5.0,5.0,4.0,5.0,,4.0,2.0,,,3.0,4.0,,3.0,3.0,3.0,3.0,5.0,,4.0,5.0,4.0,5.0,3.0,,5.0,,4.0,2.0,5.0,3.0,
467182,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.426183844011142,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0
478176,5.0,,4.0,,2.0,4.0,5.0,3.0,3.0,,,,4.0,4.0,4.0,,3.4885496183206106,,5.0,3.0,5.0,,4.0,4.0,3.0,,4.0,,,3.0,,,4.0,,,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,,2.0,4.0,3.0,4.0,2.0,4.0
490057,5.0,1.0,4.0,,3.0,,4.0,4.0,4.0,3.0,4.0,1.0,3.0,5.0,3.0,4.0,2.6486486486486487,1.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,1.0,,4.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,,1.0
491513,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.747159090909091,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0
491531,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,2.9092331768388107,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,2.0
499257,4.0,,4.0,3.0,3.0,4.0,5.0,3.0,,3.0,4.0,2.0,4.0,5.0,3.0,4.0,2.7774607703281027,4.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0
503235,4.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.100238663484487,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,,3.0,3.0,4.0,,3.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,,3.0,2.0
504440,3.0,,4.0,1.0,3.0,3.0,,4.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,2.9626038781163433,3.0,5.0,4.0,,4.0,,1.0,4.0,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,4.0,4.0,4.0,,5.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0
504620,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,2.4491017964071857,,5.0,5.0,2.0,5.0,2.0,1.0,,,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,5.0,3.0
507094,,4.0,5.0,,3.0,5.0,5.0,4.0,,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.5387243735763096,,4.0,4.0,5.0,3.0,5.0,1.0,3.0,,,,,4.0,,5.0,5.0,2.0,4.0,5.0,,5.0,5.0,5.0,4.0,,,,5.0,,1.0,4.0,4.0,4.0
507603,3.0,1.0,3.0,1.0,1.0,,4.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,1.0,1.248876404494382,1.0,4.0,2.0,4.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0
518137,4.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.683720930232558,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,2.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,5.0,3.0
524142,5.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0530759951749094,1.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0
525356,2.0,,3.0,4.0,1.0,3.0,4.0,2.0,,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.2362934362934364,1.0,4.0,,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,,2.0,1.0,3.0,5.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0
530789,5.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,3.834008097165992,,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
549534,1.0,4.0,5.0,4.0,,4.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,3.0,3.24468085106383,3.0,2.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,,4.0,2.0,4.0,5.0,5.0,3.0,
555528,3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,,5.0,5.0,5.0,5.0,,3.02081362346263,2.0,,4.0,4.0,,4.0,2.0,4.0,4.0,,,,5.0,5.0,,1.0,2.0,5.0,,5.0,3.0,5.0,,4.0,,5.0,3.0,5.0,3.0,3.0,5.0,5.0,
574834,3.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.6645885286783044,4.0,3.0,3.0,4.0,4.0,3.0,,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0
575714,4.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,2.8872077028885834,2.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,,3.0,2.0,2.0,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,2.0,4.0,3.0,1.0
576990,5.0,,5.0,5.0,5.0,,5.0,1.0,,3.0,5.0,4.0,4.0,4.0,5.0,3.0,2.041994750656168,1.0,5.0,1.0,5.0,2.0,5.0,5.0,,,,1.0,5.0,3.0,5.0,,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,,1.0,1.0,,,3.0,,5.0,,
578191,2.0,,3.0,2.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.1751336898395723,3.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,4.0,1.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,4.0,,5.0,3.0,3.0
589682,5.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.426470588235294,3.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,,4.0,4.0,4.0,3.0,5.0,,5.0,5.0,5.0,3.0,4.0,,3.0,4.0,5.0,2.0,5.0,4.0,
594196,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,,4.0,4.0,3.0,3.8801054018445322,3.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,,5.0
595778,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,3.1444444444444444,1.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0
595870,3.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,1.0,,3.0,2.0,1.0,4.0,2.0,2.0,1.8753541076487252,1.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,,3.0,3.0,2.0,2.0,1.0,,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,,1.0
601317,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.4973614775725594,1.0,5.0,5.0,5.0,3.0,5.0,,4.0,4.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
603277,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.828108108108108,1.0,4.0,2.0,5.0,3.0,5.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,,4.0,,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,,3.0
608234,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.8170878459687123,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0
620010,4.0,2.0,5.0,3.0,,,5.0,4.0,,4.0,4.0,1.0,,4.0,4.0,3.0,3.2064102564102566,2.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,,4.0,2.0,5.0,5.0,4.0,3.0,,2.0,,4.0,4.0,4.0,5.0,4.0,2.0
620741,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,3.7138769670958514,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0
624388,5.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.680613668061367,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0
629389,1.0,,4.0,3.0,,4.0,4.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,4.0,2.0,2.9953271028037385,1.0,2.0,2.0,4.0,,5.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,3.0,,2.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,,
636262,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,2.481918238993711,4.0,5.0,5.0,5.0,4.0,4.0,,2.0,4.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,,4.0
638020,5.0,2.0,4.0,3.0,2.0,4.0,,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.572938689217759,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0
642384,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.9961636828644505,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0
647979,5.0,2.0,5.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.283471837488458,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,,2.0
